nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Navitrans;10.388581358312184, -75.51770679858463;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Navitrans
Nuevo Campestre Mz G Lt 2;10.378767609741926, -75.49955293483366;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Nuevo Campestre Mz G Lt 2
Nuevo Oriente (Bascula);10.388159240970563, -75.51334552508949;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Nuevo Oriente (Bascula)
Olimpica;10.376846235617835, -75.49947018260606;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Olimpica
Olimpica 13 Junio;10.401854726369324, -75.4820126301876;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Olimpica 13 Junio
Olimpica Alto Bosque;10.394218564512292, -75.51717437628217;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Olimpica Alto Bosque
Olimpica Caracoles;10.390780655866903, -75.4889836908378;A107, A108, A111, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Olimpica Caracoles
Olimpica Carmelo;10.381067231941412, -75.48402764490399;A105;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Olimpica Carmelo
Paradero provisional;10.392720061561226, -75.51661647501659;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Paradero provisional
Parque Chile;10.399774114079188, -75.51770768718202;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Parque Chile
Parque Chile;10.39976861168262, -75.51771250071171;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Parque Chile
Parque De Los Calamares;10.397102760880687, -75.4990942773153;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Parque De Los Calamares
Parque Indupollo;10.376922755342806, -75.49809415041231;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Parque Indupollo
Parque Piedra De Bolivar;10.404701913782601, -75.50749864442784;X103;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Parque Piedra De Bolivar
Parque Plan 134;10.38350502263248, -75.47993995084735;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Parque Plan 134
Parrilla Paki;10.387756576223449, -75.49587227284381;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Parrilla Paki
Paseo De La Castellana;10.393389184218671, -75.4891633974253;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Paseo De La Castellana
Patinodromo;10.379226677869363, -75.49730524425196;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Patinodromo
Patio Portal B1;10.39470035929326, -75.47331891509111;T100E, T101, T102, T103, X102, X103, A101, A102, A114, A117, C016;Transcaribe;;csv_2025;bus_stop;platform;Patio Portal B1
Plaza Colon;10.389595430700854, -75.49601912404538;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Plaza Colon
Portal De Belen;10.385731717033977, -75.49418147659708;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Portal De Belen
